LEAVING COND WATER TEMP.suministro condensador ch3 (deg F);CONDENSER PRESSURE.presion de Condensador (psi);EVAPORATOR PRESSURE.Presion Evaporador (psi);ENTERING COND WATER TEMP.retorno condensador ch3 (deg F);ENTERING CHW TEMP.retorno ch3 (deg F);LEAVING CHW TEMP.suministro ch3 (deg F);DISCHARGE TEMP.Temperatura Descarga (deg F);OIL SUMP TEMPERATURE.temperatura deposito aceite (deg F);EVAP SATURATION TEMP.Temperatura Saturacion Evaporador (deg F);COND SATURATION TEMP.Temperatura Saturacion Condensacion (deg F);OIL SUMP PRESSURE.Presion deposito aceite (psi);MOTOR CURRENT PCT FLA.% FLA CHILLER (%)
90.2;85.0;40.3;81.2;50.7;48.4;104.3;129.1;49.2;77.0;38.2;73.0
91.4;82.6;44.3;81.2;50.8;48.6;103.5;129.3;43.9;79.6;35.9;73.0
91.4;85.4;41.9;82.2;51.0;48.1;103.5;128.8;50.4;80.0;39.1;73.0
91.4;86.6;39.6;82.2;50.9;48.5;103.3;128.8;46.8;79.3;34.9;74.0
92.5;83.3;44.4;82.7;50.7;47.4;102.5;128.8;48.6;78.8;40.0;74.0
92.5;90.0;40.6;82.7;50.5;48.4;102.4;127.7;45.4;79.3;37.4;74.0
92.5;84.8;39.8;82.7;50.7;48.5;104.2;127.9;46.9;77.4;38.7;76.0
92.5;88.1;43.1;82.7;50.8;48.7;103.1;128.7;45.8;81.4;36.3;82.0
92.5;84.9;42.1;82.7;50.4;47.0;102.2;128.0;44.6;81.9;37.1;86.0
92.2;88.9;40.8;82.9;50.2;49.6;101.8;127.2;50.3;77.1;36.8;87.0
92.2;88.2;40.6;82.9;50.7;48.6;101.5;127.6;48.1;77.9;35.9;89.0
92.2;88.0;42.0;82.9;50.7;46.8;101.6;126.8;47.7;79.3;34.1;91.0
92.2;82.3;42.6;82.9;50.5;47.9;102.2;126.5;45.4;80.1;36.8;91.0
91.2;84.9;41.5;82.9;50.8;47.9;102.5;126.8;50.1;77.5;38.2;91.0
90.5;82.3;43.7;82.6;50.8;47.8;101.2;126.7;45.7;79.0;38.9;91.0
90.5;85.5;43.1;82.6;50.8;50.0;102.2;126.5;50.5;77.2;39.7;90.0
90.5;85.2;44.2;82.6;50.9;47.1;102.0;126.8;45.2;79.8;35.0;90.0
90.5;91.6;43.2;82.6;54.4;47.9;100.2;126.1;46.1;86.4;35.7;90.0
90.5;99.8;41.0;82.6;54.3;47.2;98.3;122.8;46.0;86.9;39.4;90.0
89.8;97.5;40.8;82.2;53.2;46.9;97.2;121.3;45.4;85.4;40.3;87.0
89.8;94.6;40.8;82.2;52.3;46.9;99.1;120.5;45.8;84.4;35.8;83.0
89.8;94.2;40.8;82.2;52.1;46.9;99.5;121.5;45.8;84.3;35.7;84.0
89.8;93.6;40.8;82.2;52.1;47.0;99.5;122.1;45.7;84.5;35.8;84.0
89.8;93.6;40.9;82.2;51.7;47.0;99.2;122.3;45.5;85.0;35.7;84.0
89.8;91.4;40.3;82.0;52.0;48.3;99.7;122.7;45.8;84.0;36.2;83.0
89.8;93.7;40.1;82.0;52.3;49.0;101.6;123.4;45.3;83.8;36.6;83.0
89.8;95.2;39.9;82.0;52.6;49.3;101.8;123.8;45.1;85.1;36.5;81.0
89.8;96.3;40.3;82.0;52.7;47.3;101.5;123.7;45.0;85.4;35.8;82.0
89.8;90.3;43.1;82.0;52.7;47.4;101.1;123.8;45.1;85.7;36.8;82.0
90.6;94.5;42.8;82.1;52.7;48.0;99.5;122.9;47.4;84.8;37.1;82.0
90.6;95.0;41.3;82.1;52.1;47.2;99.0;122.4;47.3;83.8;36.7;81.0
91.6;94.2;40.0;82.1;52.1;48.4;100.0;122.2;45.5;84.4;38.1;81.0
91.6;94.7;40.2;82.1;52.3;49.1;100.5;122.7;45.1;83.9;38.8;81.0
91.6;95.9;40.1;82.1;52.6;47.3;101.3;123.2;45.2;85.3;36.1;81.0
92.2;96.9;44.1;82.7;52.7;47.5;100.8;123.4;45.3;85.4;36.9;81.0
92.2;90.9;43.0;82.7;52.6;47.7;100.9;123.3;45.5;85.8;37.2;82.0
92.2;91.5;42.1;82.7;53.0;48.0;101.1;123.1;46.1;85.8;37.6;83.0
92.2;95.9;41.4;82.7;53.0;47.3;101.2;123.1;46.9;86.1;37.8;83.0
92.2;100.0;39.7;82.7;52.9;46.8;100.2;122.6;46.7;87.5;36.9;83.0
92.4;100.4;39.4;82.8;52.3;46.4;100.9;122.5;48.4;84.1;36.9;83.0
92.4;93.9;41.8;82.8;52.4;47.6;100.4;122.7;46.0;86.0;36.5;81.0
92.4;100.3;41.4;82.8;52.2;47.8;101.0;122.9;47.4;84.4;36.6;81.0
